Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Duração média da visualização,Porcentagem visualizada média (%),Hypes
Total,,,,23473,0:00:27,50.62,0
H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,2285,0:00:12,124.38,0
51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,2204,0:00:16,203.34,0
w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,1869,0:00:14,212.02,0
PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,1788,0:00:22,142.57,0
0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,1496,0:00:15,159.5,0
n4mDOg9q7xY,Versículo do dia 41,"Mar 10, 2026",16,1379,0:00:21,135.39,0
2Y4q98L3x-4,🌅 Versículo do dia 51 #bliblia #mensagem #salmos145,"Mar 21, 2026",11,1348,0:00:16,154.38,0
nmDx803XAm0,Versículo do dia 42,"Mar 12, 2026",19,1292,0:00:27,143.07,0
Zf5QFckCEC8,🌅 Versículo do dia 57 #bliblia #amor #deustemumapalavrapravoce,"Mar 27, 2026",10,1067,0:00:12,124.87,0
1frHYZVcqaA,🌅 Versículo do dia 63 #bliblia #mensagem #entendendoabiblia #deustemumapalavrapravoce,"Apr 2, 2026",13,1004,0:00:21,167.28,
WWbJQknNIxk,Versículo do dia 38,"Mar 8, 2026",17,996,0:00:20,119.57,0
w3m2LkMP0sQ,Versículo do dia 36 #bliblia #mensagem #salmos,"Mar 6, 2026",24,981,0:00:32,135.84,0
 -p5v4zK3cMo,Versículo do dia 46 #mensagem #salmos145 #fe,"Mar 16, 2026",10,957,0:00:18,186.83,0
JfBXXAmWmIY,🌅 Versículo do dia 59,"Mar 29, 2026",18,939,0:00:27,153.53,0
lM95uAi9Jtw,Versículo do dia 49 #bliblia #motivacional #salmos145,"Mar 19, 2026",14,519,0:00:11,81.4,0
FvwOPRHL31g,Versículo do dia 53 #bliblia #mensagem #salmos145,"Mar 23, 2026",8,507,0:00:10,129.57,0
LBu3Hxu-YKg,🌅 Versículo do dia 50 #bliblia #mensagem #salmos145,"Mar 20, 2026",12,450,0:00:15,133.22,0
0ktzP1im0zk,Versículo do dia 45 #bliblia #mensagem #salmos145,"Mar 15, 2026",10,313,0:00:12,124.22,0
INHmSThybBc,Versículo do dia 43 #bliblia #mensagem #salmos145,"Mar 13, 2026",13,284,0:00:12,93.83,0
JrZi1WT2t04,Versículo do dia 60 #bliblia #amor #entendendoabiblia,"Mar 30, 2026",12,281,0:00:09,80.03,0
NdrVJGO7ezQ,Versículo do dia 61 #bliblia #mensagem #entendendoabiblia,"Mar 31, 2026",11,238,0:00:12,110.02,0
5zFFj7cwc5M,Versículo do dia 44 #bliblia #mensagem #salmos145,"Mar 14, 2026",14,238,0:00:14,105,0
SQbzbAdjBco,Versículo do dia 47 #bliblia #mensagem #salmos145,"Mar 17, 2026",12,233,0:00:12,100.88,0
fl3sD9hO0Rc,Versículo do dia 48 #bliblia #mensagem #salmos145,"Mar 18, 2026",6,166,0:00:06,112.68,0
j19A4nQYmpU,Versículo do dia 39,"Mar 9, 2026",8,134,0:00:07,92.72,0
dBr6MDPixqE,Versículo do dia 54 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 24, 2026",18,128,0:00:15,86.31,0
eA4eNJBZzGs,Versículo do dia 37 #bliblia #mensagem #salmos145,"Mar 7, 2026",13,66,0:00:10,77.2,0
snb3tHts_Nk,MÚSICAS CRISTÃS PARA ORAR E DORMIR | Louvor Profundo,"Mar 16, 2026",1800,60,0:05:10,17.26,0
B4ksBgLFzY4,🌅 Versículo do dia 62 #bliblia #mensagem #entendendoabiblia,"Apr 1, 2026",13,27,0:00:15,116.67,0
jWRDAifbMbI,Versículo do dia 31,"Feb 20, 2026",25,18,0:02:50,682.59,0
6zErmfuNLz4,Versículo do dia 35 #bliblia #mensagem #salmos145,"Mar 5, 2026",17,18,0:00:56,330.25,0
UDt52RZ_KN4,Versículo do dia 30,"Feb 19, 2026",19,13,0:00:58,309.75,0
aqngiKb1fDE,Versículo do dia 32,"Feb 21, 2026",19,13,0:00:55,294.25,0
qwQeq2ZbcUA,Versículo do dia 33 #bliblia #mensagem #salmos145,"Mar 3, 2026",16,12,0:02:50,1063.71,0
6Fbmel4kRdI,🎬 SALMO 91 PARA DORMIR EM PAZ,"Mar 13, 2026",259,11,0:00:36,14.06,0
4WM7Lk6tHhk,Versículo do dia 28,"Feb 14, 2026",22,11,0:02:20,639.5,0
Vphc_Vetd9Q,Versículo do dia 34 #bliblia #mensagem #salmos145,"Mar 4, 2026",24,9,0:00:57,238.88,0
11OBviDXVSA,Louvor para acalmar o coração,"Mar 19, 2026",1801,8,0:04:48,15.99,0
6cH91hFSNPE,Versículo do dia 29,"Feb 16, 2026",22,7,0:00:43,196.75,0
I5eVgiyrbAg,Louvores para acalmar o coração,"Mar 20, 2026",1792,7,0:15:21,51.41,0
72czMAqCZiY,DEIXE TOCANDO ENQUANTO DORME | LOUVOR QUE ACALMA O CORAÇÃO,"Mar 22, 2026",1798,7,0:03:42,12.36,0
ZPeEzwKSmxo,Versículo do dia 27,"Feb 13, 2026",16,6,0:00:25,156.41,0
kGyzUUKZxyQ,"Louvores, fé e oração","Mar 28, 2026",1671,6,0:04:42,16.9,0
9AAzLqDUOIg,Versículo do dia 26,"Feb 12, 2026",17,3,0:00:11,66.47,0
lQ0VVXij-zA,“OUÇA ISSO ANTES DE DORMIR | Versículos que acalmam a alma”. 🙏,"Mar 13, 2026",216,3,0:00:25,11.93,0
TOyR-XaUEEk,🙏 DEUS ESTÁ AQUI | Músicas Gospel para Acalmar o Coração e Fortalecer a Fé 🙌,"Apr 3, 2026",1209,2,0:15:15,75.76,0
O82Eky7exyU,Versículo do dia 11,"Jan 27, 2026",19,2,0:00:09,47.37,0
gSkxsj8trqw,Versículo do dia 17,"Feb 3, 2026",21,2,,,0
HEX1AHWVd1s,Um dia abençoado à todos vocês,"Jan 22, 2026",19,1,,,0
SGcci6UvRG0,Versículo do dia 21,"Feb 7, 2026",21,1,,,0
IrDVgaohOSY,🎧 ORAÇÃO DA NOITE,"Mar 21, 2026",367,1,0:00:46,12.72,0
S-0hORxgnHQ,Versículo do dia 24,"Feb 10, 2026",19,1,,,0
d3K5DQQmIlg,Versículo do dia 14,"Jan 30, 2026",16,1,,,0
D73GWzHxjtA,Versículo do dia 16,"Feb 2, 2026",23,1,,,0
29DBzkGjA0U,Versículo do dia 23,"Feb 9, 2026",22,1,,,0
SzqAXz3nNa8,Versículo do dia 12,"Jan 28, 2026",16,1,,,0
og7wyd3RMBs,Versículo do dia 7,"Jan 23, 2026",16,1,,,0
bxDwlhYkLts,Versículo do dia 9,"Jan 25, 2026",20,1,,,0
NPQVOAiS5-E,Versículo do dia 18,"Feb 4, 2026",23,1,,,0
meB0eVFhFaw,Versículo do dia 22,"Feb 8, 2026",21,1,,,0
RpXrQ0QXYhU,Versículo do dia 20,"Feb 6, 2026",29,1,,,0
0DhxO2iLfMQ,Versículo do dia 13,"Jan 29, 2026",21,1,,,0
kguqbYugsPc,Versículo do dia 25,"Feb 11, 2026",21,1,,,0
VKlg9smBlvY,Versículo do dia 15,"Jan 31, 2026",17,1,,,0
CSi_Kgj5tHg,Versículo do dia 19,"Feb 5, 2026",16,1,,,0
Yiu0OgTHM7k,Versículo do dia 10,"Jan 26, 2026",24,1,,,0
1VvyqanKbVA,Versículo do dia 8,"Jan 24, 2026",17,1,,,0
vsyKlJcKAFY,Post,"Apr 1, 2026",15,0,,,
