Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2026-03-06,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-07,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-08,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-09,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-10,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-11,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-12,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-13,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-14,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-15,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-16,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-17,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-18,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-19,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-20,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-21,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-22,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-23,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-24,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-25,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,614
2026-03-26,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,827
2026-03-27,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,25
2026-03-28,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,26
2026-03-29,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,4
2026-03-30,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-31,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-04-01,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-04-02,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-06,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-07,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-08,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-09,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-10,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-11,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-12,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-13,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-14,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-15,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-16,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-17,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-18,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-19,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-20,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-21,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-22,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-23,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-24,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-25,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-26,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,1514
2026-03-27,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,353
2026-03-28,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,320
2026-03-29,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,13
2026-03-30,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,3
2026-03-31,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-04-01,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,1
2026-04-02,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-06,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-07,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-08,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-09,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-10,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-11,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-12,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-13,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-14,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-15,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-16,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-17,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-18,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-19,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-20,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-21,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-22,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-23,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-24,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-25,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-26,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-27,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-28,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,1743
2026-03-29,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,469
2026-03-30,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,15
2026-03-31,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,57
2026-04-01,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,1
2026-04-02,H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,0
2026-03-06,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-07,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-08,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-09,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-10,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,1039
2026-03-11,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,731
2026-03-12,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,10
2026-03-13,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,7
2026-03-14,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-15,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-16,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-17,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,1
2026-03-18,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-19,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-20,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-21,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-22,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-23,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-24,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-25,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-26,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-27,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-28,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-29,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-30,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-31,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-04-01,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-04-02,PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,0
2026-03-06,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-07,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-08,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-09,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-10,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-11,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-12,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-13,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-14,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-15,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-16,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-17,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-18,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-19,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-20,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-21,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-22,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,1485
2026-03-23,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,82
2026-03-24,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,286
2026-03-25,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,15
2026-03-26,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,1
2026-03-27,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-28,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-29,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-30,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-03-31,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-04-01,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
2026-04-02,w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,0
